,open,high,low,close,volume,value,middleBand,upperBand,sellingPrice,prevHigh,prevMiddle,prevClose,prevSellingPrice,isBuying,isSelling,ror
2024-03-22 16:03:00,14970.0,14970.0,14960.0,14970.0,147.98832616,2214482.7975499,,,,,,,,False,False,1.0
2024-03-22 16:04:00,14960.0,14960.0,14950.0,14950.0,270.06739776,4039476.043464,,,,14970.0,,14970.0,,False,False,1.0
2024-03-22 16:05:00,14970.0,14970.0,14930.0,14950.0,2334.1985601,34872580.4751432,,,,14960.0,,14950.0,,False,False,1.0
2024-03-22 16:06:00,14970.0,14970.0,14940.0,14940.0,376.95134629,5636479.8391908,,,,14970.0,,14950.0,,False,False,1.0
2024-03-22 16:07:00,14940.0,14940.0,14880.0,14890.0,4504.96211549,67177507.8523045,,,,14970.0,,14940.0,,False,False,1.0
2024-03-22 16:08:00,14890.0,14930.0,14890.0,14930.0,2607.21943088,38846114.7454482,,,,14940.0,,14890.0,,False,False,1.0
2024-03-22 16:09:00,14930.0,14950.0,14910.0,14910.0,813.0363898,12135332.5305923,,,,14930.0,,14930.0,,False,False,1.0
2024-03-22 16:10:00,14920.0,14960.0,14920.0,14960.0,165.70765747,2472652.2072044,,,,14950.0,,14910.0,,False,False,1.0
2024-03-22 16:11:00,14950.0,14970.0,14940.0,14950.0,213.59969967,3193804.7142903,,,,14960.0,,14960.0,,False,False,1.0
2024-03-22 16:12:00,14950.0,14970.0,14940.0,14940.0,1014.40608443,15156715.7878055,,,,14970.0,,14950.0,,False,False,1.0
2024-03-22 16:13:00,14930.0,14940.0,14920.0,14940.0,452.50694648,6755076.462138,,,,14970.0,,14940.0,,False,False,1.0
2024-03-22 16:14:00,14940.0,15000.0,14940.0,15000.0,495.07822235,7412315.568931,,,,14940.0,,14940.0,,False,False,1.0
2024-03-22 16:15:00,15000.0,15020.0,14980.0,14990.0,1597.58559299,23963295.9452178,,,,15000.0,,15000.0,,False,False,1.0
2024-03-22 16:16:00,14980.0,14980.0,14960.0,14960.0,680.47772646,10187224.9153406,,,,15020.0,,14990.0,,False,False,1.0
2024-03-22 16:17:00,14950.0,14960.0,14950.0,14950.0,261.86945586,3915283.1188017,,,,14980.0,,14960.0,,False,False,1.0
2024-03-22 16:18:00,14960.0,14960.0,14930.0,14960.0,252.85022299,3777840.7567552,,,,14960.0,,14950.0,,False,False,1.0
2024-03-22 16:19:00,14940.0,14940.0,14920.0,14940.0,1224.00485671,18280371.1726344,,,,14960.0,,14960.0,,False,False,1.0
2024-03-22 16:20:00,14930.0,14930.0,14900.0,14930.0,1898.79451938,28301907.1871488,,,,14940.0,,14940.0,,False,False,1.0
2024-03-22 16:21:00,14900.0,14930.0,14890.0,14890.0,1878.00231895,27972620.1408925,,,,14930.0,,14930.0,,False,False,1.0
2024-03-22 16:22:00,14900.0,14900.0,14900.0,14900.0,9.51529571,141777.906079,14942.5,15000.854632702938,14995.019169432644,14930.0,,14890.0,,False,False,1.0
2024-03-22 16:23:00,14920.0,14920.0,14890.0,14910.0,1170.69924074,17449076.1787775,14939.5,14998.070695025666,14992.2136255231,14900.0,14942.5,14900.0,14995.019169432644,False,False,1.0
2024-03-22 16:24:00,14910.0,14940.0,14900.0,14920.0,999.47932302,14910217.5881596,14938.0,14996.973678339087,14991.07631050518,14920.0,14939.5,14910.0,14992.2136255231,True,False,1.0
2024-03-22 16:25:00,14920.0,14950.0,14920.0,14950.0,170.52617785,2548575.2977195,14938.0,14996.973678339087,14991.07631050518,14940.0,14938.0,14920.0,14991.07631050518,False,False,1.0
2024-03-22 16:26:00,14940.0,14990.0,14940.0,14960.0,230.06193777,3443282.991046,14939.0,14998.78910303814,14992.810192734325,14950.0,14938.0,14950.0,14991.07631050518,False,False,1.0
2024-03-22 16:27:00,14960.0,14970.0,14950.0,14950.0,871.20601571,13031098.2588303,14942.0,14997.288715894503,14991.759844305052,14990.0,14939.0,14960.0,14992.810192734325,False,False,1.0
2024-03-22 16:28:00,14940.0,14970.0,14930.0,14970.0,368.17861172,5499702.9588264,14944.0,15000.344803150825,14994.710322835743,14970.0,14942.0,14950.0,14991.759844305052,False,False,1.0
2024-03-22 16:29:00,14970.0,14990.0,14950.0,14950.0,1721.3190514,25765347.6985137,14946.0,15000.056500655868,14994.650850590282,14970.0,14944.0,14970.0,14994.710322835743,False,False,1.0
2024-03-22 16:30:00,14980.0,15000.0,14960.0,15000.0,463.98508579,6954789.2441858,14948.0,15006.973678339087,15001.07631050518,14990.0,14946.0,14950.0,14994.650850590282,False,True,1.0036916128779598
